,album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
215,Christmas: The Peace Project (Deluxe),16,4rYbIm41xXk30uRco2oNCa,Joy To The World - Reimagined,spotify:track:4rYbIm41xXk30uRco2oNCa,0.00504,0.516,0.772,0.0,0.0771,-6.242,0.0346,107.0,0.18,32
219,Christmas: The Peace Project (Deluxe),20,4vBKE2iwDSNduyw1O4MISE,Prince Of Heaven - Instrumental,spotify:track:4vBKE2iwDSNduyw1O4MISE,0.0103,0.108,0.349,0.915,0.0938,-12.227,0.0304,82.078,0.0377,27
220,Christmas: The Peace Project (Deluxe),21,6jb573hTIAUZx9egWjfEQo,O Come All Ye Faithful - Instrumental,spotify:track:6jb573hTIAUZx9egWjfEQo,0.000413,0.383,0.475,0.904,0.14,-8.91,0.0258,150.017,0.225,27
221,Christmas: The Peace Project (Deluxe),22,7r0Y98U1ZTu4aGW9G3QxeJ,Noel - Instrumental,spotify:track:7r0Y98U1ZTu4aGW9G3QxeJ,0.000532,0.562,0.608,0.867,0.101,-9.702,0.0275,119.989,0.379,26
222,Christmas: The Peace Project (Deluxe),23,5UmMCceqlunL9lREMIzjUr,When I Think Upon Christmas - Instrumental,spotify:track:5UmMCceqlunL9lREMIzjUr,0.695,0.449,0.314,0.936,0.0632,-13.213,0.0284,109.931,0.172,27
223,Christmas: The Peace Project (Deluxe),24,2aN6wXbdA1ndmJXG6IgMmi,Silent Night (With Saviour King) - Instrumental,spotify:track:2aN6wXbdA1ndmJXG6IgMmi,0.138,0.194,0.202,0.924,0.0858,-14.435,0.0342,74.028,0.0554,26
224,Christmas: The Peace Project (Deluxe),25,5qwnx1KTQiFRUIqIPfqKl9,Arrival - Instrumental,spotify:track:5qwnx1KTQiFRUIqIPfqKl9,0.000118,0.448,0.773,0.703,0.346,-8.345,0.0273,131.994,0.167,25
225,Christmas: The Peace Project (Deluxe),26,3SB9NuRdp2h4xAcC43vyup,O Holy Night - Instrumental,spotify:track:3SB9NuRdp2h4xAcC43vyup,0.000707,0.142,0.452,0.683,0.131,-8.95,0.0322,167.976,0.101,26
239,Christmas: The Peace Project (Deluxe),13,51CQcrzsbt3ZVnAvHcKYBD,O Holy Night - Live,spotify:track:51CQcrzsbt3ZVnAvHcKYBD,0.00235,0.137,0.51,0.0,0.106,-6.144,0.0358,167.83,0.174,37
240,Christmas: The Peace Project (Deluxe),14,1JqRuf1VFolpmDEBjeRLkF,Silent Night (with Saviour King) - Live,spotify:track:1JqRuf1VFolpmDEBjeRLkF,0.355,0.153,0.328,0.0,0.0603,-10.847,0.0331,146.718,0.101,34
243,Christmas: The Peace Project (Deluxe),17,1r0Vxd0SEF4D893iYeVVxj,Joy To The World - Instrumental,spotify:track:1r0Vxd0SEF4D893iYeVVxj,9.71e-05,0.483,0.667,0.894,0.0834,-9.293,0.0262,95.993,0.504,28
244,Christmas: The Peace Project (Deluxe),18,7aTBNIJtDNHVA425pW3wa2,Hark - Instrumental,spotify:track:7aTBNIJtDNHVA425pW3wa2,0.00811,0.464,0.372,0.951,0.0806,-10.873,0.0292,134.014,0.0844,27
245,Christmas: The Peace Project (Deluxe),19,1elCTJ5VDsJM0X2RGYRVsD,Seasons - Instrumental,spotify:track:1elCTJ5VDsJM0X2RGYRVsD,0.00514,0.362,0.37,0.933,0.107,-11.567,0.0301,145.926,0.102,26
250,Christmas: The Peace Project (Deluxe),24,35hI0aD5n1rMYY5LSu34qy,Silent Night (with Saviour King) - Instrumental,spotify:track:35hI0aD5n1rMYY5LSu34qy,0.144,0.235,0.201,0.909,0.0842,-14.456,0.034,73.905,0.0552,25
253,Christmas: The Peace Project (Deluxe),27,2zj2b6g25Jr7OpDWYZgAv6,Peace Upon The Earth - Instrumental,spotify:track:2zj2b6g25Jr7OpDWYZgAv6,0.605,0.0772,0.304,0.945,0.151,-12.852,0.0333,81.033,0.0909,25
254,There Is More (Instrumental Version),1,04ZM9lID5UlPBmCO2VyJ6F,Who You Say I Am - Instrumental Version,spotify:track:04ZM9lID5UlPBmCO2VyJ6F,3.01e-05,0.14,0.671,0.928,0.0905,-8.156,0.0347,172.029,0.0938,30
255,There Is More (Instrumental Version),2,7bXHynjjhieyUVyq8PfjHg,You Are Life - Instrumental Version,spotify:track:7bXHynjjhieyUVyq8PfjHg,0.000582,0.527,0.831,0.931,0.206,-9.286,0.0339,114.983,0.287,23
256,There Is More (Instrumental Version),3,251dYQDLe5ozFLVs3aYwLn,The Passion - Instrumental Version,spotify:track:251dYQDLe5ozFLVs3aYwLn,0.000858,0.508,0.629,0.868,0.0635,-9.412,0.0297,140.012,0.211,25
257,There Is More (Instrumental Version),4,16hdlk0FsvPaYbWFXythrS,God So Loved - Instrumental Version,spotify:track:16hdlk0FsvPaYbWFXythrS,0.00865,0.475,0.425,0.954,0.123,-10.402,0.0303,139.031,0.0978,29
258,There Is More (Instrumental Version),5,6vNO4GgdFcyZTH3RAeWsTC,Be Still - Instrumental Version,spotify:track:6vNO4GgdFcyZTH3RAeWsTC,0.0345,0.389,0.357,0.908,0.0966,-12.236,0.0269,148.991,0.0677,29
259,There Is More (Instrumental Version),6,6OgYGbRHpmhnj6qKzJsC6w,Remembrance - Instrumental Version,spotify:track:6OgYGbRHpmhnj6qKzJsC6w,0.113,0.395,0.387,0.924,0.113,-11.059,0.0272,140.002,0.0493,29
260,There Is More (Instrumental Version),7,70yVbCPIs485e9KfxznNm1,Valentine - Instrumental Version,spotify:track:70yVbCPIs485e9KfxznNm1,0.000377,0.35,0.438,0.921,0.32,-11.798,0.0306,81.004,0.0555,22
261,There Is More (Instrumental Version),8,532yLhTO3WS92NTVu5tr35,Touch Of Heaven - Instrumental Version,spotify:track:532yLhTO3WS92NTVu5tr35,0.0606,0.458,0.357,0.843,0.265,-10.83,0.0298,134.967,0.0378,31
